Genus,Species,,Location,,Date,TL (cm),Bite length (mm),Bite width (mm)
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,14.6,3.7
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,IP,North Reef,"Lizard, GBR",21/10/2014,35,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,26,7.6,2.9
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,29,13.9,3.9
Scarus,altipinnus,TP,North Reef,"Lizard, GBR",21/10/2014,32,12.3,4.6
Scarus,altipinnus,TP,North Reef,"Lizard, GBR",21/10/2014,32,14.8,5.1
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,33,0,0
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,9.5,3
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,19.9,3.6
Scarus,altipinnus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,35,20.5,3.5
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,13,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,16,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,16,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,16,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,16,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,16,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,IP,North Reef,"Lizard, GBR",20/10/2014,19,0,0
Scarus,chameleon,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Scarus,chameleon,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Scarus,chameleon,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Scarus,chameleon,TP,Big Vicki's,"Lizard, GBR",19/10/2014,17,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,20,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,20,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,21,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,21,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,21,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,21,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,21,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,chameleon,TP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,14,0,0
Scarus,dimidiadus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,20,0,0
Scarus,dimidiadus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,20,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,21,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,21,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,21,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,dimidiadus,IP,Lagoon entrance,"Lizard, GBR",17/10/2014,23,9,1.9
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,14,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,14,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,14,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,14,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,17,9.4,2
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,20,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",18/10/2014,20,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,dimidiadus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,23,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,21,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,22,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,30,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,30,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,30,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,30,0,0
Scarus,flavipectoralis,IP,North Reef,"Lizard, GBR",20/10/2014,30,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,20,0,0
Scarus,flavipectoralis,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,0,0
Scarus,flavipectoralis,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,0,0
Scarus,flavipectoralis,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,0,0
Scarus,flavipectoralis,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,22,0,0
Scarus,flavipectoralis,TP,North Reef,"Lizard, GBR",20/10/2014,22,0,0
Scarus,flavipectoralis,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,8.7,2.5
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,23,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,25,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,25,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,25,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,25,13.6,2
Scarus,forsteni,IP,North Reef,"Lizard, GBR",20/10/2014,29,13.9,3.1
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,IP,North Reef,"Lizard, GBR",21/10/2014,32,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,23,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",21/10/2014,27,0,0
Scarus,forsteni,TP,North Reef,"Lizard, GBR",20/10/2014,32,16.5,3.4
Scarus,frenatus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,12,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",20/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",20/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,17,9.6,2.3
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,20,10.9,2.8
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,20,14.6,2.9
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,21,11.3,2.2
Scarus,frenatus,IP,Osprey,"Lizard, GBR",10/10/2014,22,0,0
Scarus,frenatus,IP,Osprey,"Lizard, GBR",10/10/2014,22,0,0
Scarus,frenatus,IP,Osprey,"Lizard, GBR",10/10/2014,22,0,0
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,0,0
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,22,12.2,3.5
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,23,10,3.6
Scarus,frenatus,IP,Osprey,"Lizard, GBR",10/10/2014,23,10.3,6
Scarus,frenatus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,23,11,3.2
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,23,11.1,2.9
Scarus,frenatus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,23,12.2,3.1
Scarus,frenatus,IP,Lagoon entrance (RHS),"Lizard, GBR",18/10/2014,23,13.5,6.4
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,frenatus,IP,Back reef behind South,"Lizard, GBR",17/10/2014,24,11,2
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,15.3,2.5
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,17,3
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,24,19.1,3
Scarus,frenatus,IP,Lagoon entrance,"Lizard, GBR",17/10/2014,25,12.2,3
Scarus,frenatus,IP,Lagoon entrance,"Lizard, GBR",17/10/2014,25,13,2.9
Scarus,frenatus,IP,Lagoon entrance,"Lizard, GBR",17/10/2014,25,15.1,3.9
Scarus,frenatus,IP,Lagoon entrance,"Lizard, GBR",17/10/2014,26,9.7,4.7
Scarus,frenatus,IP,Big Vicki's,"Lizard, GBR",19/10/2014,26,14.3,2.4
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,0,0
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,7.3,2.6
Scarus,frenatus,IP,North Reef,"Lizard, GBR",21/10/2014,30,7.8,2.7
Scarus,frenatus,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,20,8.2,2.9
Scarus,frenatus,TP,North Reef,"Lizard, GBR",20/10/2014,22,10.4,1.9
Scarus,frenatus,TP,Lagoon entrance,"Lizard, GBR",17/10/2014,22,12,2.9
Scarus,frenatus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,24,0,0
Scarus,frenatus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,24,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",20/10/2014,24,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",20/10/2014,24,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",20/10/2014,24,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,24,0,0
Scarus,frenatus,TP,Big Vicki's,"Lizard, GBR",19/10/2014,24,12.9,2.3
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,0,0
Scarus,frenatus,TP,North Reef,"Lizard, GBR",21/10/2014,26,13.5,3.8
