species,FG,chagos,gbr,maldives,seychelles,nregions,bite.rate.exist,Bejarano,Bellwood_Choat,citation3,notes
Acanthurus auranticavus,Herbivore Grazer,TRUE,TRUE,TRUE,FALSE,3,,,,,wave energy gradient in bejarano
Acanthurus blochii,Herbivore Grazer,TRUE,TRUE,FALSE,FALSE,2,,,,,
Acanthurus leucocheilus,Herbivore Grazer,TRUE,FALSE,FALSE,FALSE,1,,,,,
Acanthurus leucosternon,Herbivore Grazer,TRUE,FALSE,TRUE,TRUE,3,,,,,
Acanthurus lineatus,Herbivore Grazer,TRUE,TRUE,TRUE,TRUE,4,,,,,
Acanthurus nigricauda,Herbivore Grazer,TRUE,TRUE,FALSE,FALSE,2,,,,,
Acanthurus nigrofuscus,Herbivore Grazer,TRUE,TRUE,TRUE,TRUE,4,,,,,
Acanthurus tennenti,Herbivore Grazer,TRUE,FALSE,FALSE,FALSE,1,,,,,
Acanthurus triostegus,Herbivore Grazer,TRUE,TRUE,FALSE,TRUE,3,,,,,
Acanthurus tristis,Herbivore Grazer,TRUE,TRUE,FALSE,FALSE,2,,,,,
Cetoscarus bicolor,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Chlororus capistratoides,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Chlororus enneacanthus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Chlororus sordidus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Chlororus stronglycephalus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Hipposcarus harid,Herbivore Scraper,TRUE,FALSE,TRUE,TRUE,3,,,,,
Kyphosus cinerascens,Herbivore Browser,TRUE,TRUE,TRUE,FALSE,3,,,,,
Melichthys niger,Herbivore Grazer,TRUE,FALSE,TRUE,FALSE,2,,,,,
Naso brachycentron,Herbivore Browser,TRUE,TRUE,FALSE,FALSE,2,,,,,
Naso lituratus,Herbivore Browser,TRUE,FALSE,TRUE,FALSE,2,,,,,
Naso unicornis,Herbivore Browser,TRUE,TRUE,FALSE,FALSE,2,,,,,
Plectroglyphidodon lacrymatus,Herbivore Grazer,TRUE,TRUE,TRUE,TRUE,4,,,,,
Plectroglyphidodon phoenixensis,Herbivore Grazer,TRUE,FALSE,FALSE,FALSE,1,,,,,
Pomacentrus indicus,Herbivore Grazer,TRUE,FALSE,TRUE,FALSE,2,,,,,
Pomacentrus nagasakiensis,Herbivore Grazer,TRUE,TRUE,FALSE,FALSE,2,,,,,
Scaris frenatus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Scarus caudofasciatus,Herbivore Scraper,TRUE,FALSE,TRUE,TRUE,3,,,,,
Scarus falcippinis,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Scarus frenatus,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Scarus globiceps,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Scarus niger,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Scarus prasiognathus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Scarus psittacus,Herbivore Scraper,TRUE,TRUE,FALSE,TRUE,3,,,,,
Scarus rubroviolaceus,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Scarus scaber,Herbivore Scraper,TRUE,FALSE,TRUE,TRUE,3,,,,,
Scarus tricolor,Herbivore Scraper,TRUE,FALSE,TRUE,TRUE,3,,,,,
Scarus viridifucatus,Herbivore Scraper,TRUE,FALSE,TRUE,TRUE,3,,,,,
Stegastes fasciolatus,Herbivore Grazer,TRUE,TRUE,TRUE,FALSE,3,,,,,
Zebrasoma desjardinii,Herbivore Grazer,TRUE,FALSE,TRUE,TRUE,3,,,,,
Zebrasoma scopas,Herbivore Grazer,TRUE,TRUE,TRUE,TRUE,4,,,,,
Chlororus stronglyocephalus,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Scarus capistratoides,Herbivore Scraper,TRUE,FALSE,FALSE,FALSE,1,,,,,
Scarus ghobban,Herbivore Scraper,TRUE,TRUE,TRUE,TRUE,4,,,,,
Pomacentrus bankanensis,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Stegastes apicalis,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Chlorurus sordidus,Herbivore Scraper,FALSE,TRUE,TRUE,TRUE,3,,,,,
Zebrasoma veliferum,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Ctenochaetus striatus,Herbivore Grazer,FALSE,TRUE,TRUE,TRUE,3,,,,,
Centropyge bicolor,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Kyphosus vaigiensis,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus corallinus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus spinus,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus rivulatus,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Chlorurus bleekeri,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus puellus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus oviceps,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus chameleon,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus dimidiatus,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus doliatus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus spinus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Pomacentrus amboinensis,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus altipinnis,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Chlorurus microrhinos,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus flavipectoralis,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Dischistodus melanotus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Ctenochaetus binotatus,Herbivore Grazer,FALSE,TRUE,FALSE,TRUE,2,,,,,
Scarus forsteni,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Centropyge vrolikii,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Scarus schlegeli,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus vulpinus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Stegastes nigricans,Herbivore Grazer,FALSE,TRUE,FALSE,TRUE,2,,,,,
Naso tuberosus,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Platax teira,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus punctatus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Acanthurus nigricans,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Pomacentrus wardi,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Acanthurus dussumieri,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Platax pinnatus,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Acanthurus olivaceus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus argenteus,Herbivore Grazer,FALSE,TRUE,FALSE,TRUE,2,,,,,
Dischistodus pseudochrysopoecilus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Stegastes lividus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Acanthurus nigroris,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Plectroglyphidodon leucozonus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Calotomus carolinus,Herbivore Browser,FALSE,TRUE,TRUE,TRUE,3,,,,,
Scarus falcipinnis,Herbivore Scraper,FALSE,TRUE,FALSE,TRUE,2,,,,,
Hipposcarus longiceps,Herbivore Scraper,FALSE,TRUE,FALSE,FALSE,1,,,,,
Chrysiptera biocellata,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Dischistodus perspicillatus,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Dischistodus prosopotaenia,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Platax batavianus,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Siganus canaliculatus,Herbivore Browser,FALSE,TRUE,FALSE,FALSE,1,,,,,
Centropyge bispinosa,Herbivore Grazer,FALSE,TRUE,FALSE,FALSE,1,,,,,
Ctenochaetus truncatus,Herbivore Grazer,FALSE,FALSE,FALSE,TRUE,1,,,,,
Acanthurus tennentii,Herbivore Grazer,FALSE,FALSE,FALSE,TRUE,1,,,,,
Naso elegans,Herbivore Browser,FALSE,FALSE,FALSE,TRUE,1,,,,,
Pomacentrus trilineatus,Herbivore Grazer,FALSE,FALSE,FALSE,TRUE,1,,,,,
Chlorurus atrilunula,Herbivore Scraper,FALSE,FALSE,FALSE,TRUE,1,,,,,
Scarus prasiognathos,Herbivore Scraper,FALSE,FALSE,FALSE,TRUE,1,,,,,
Chlorurus strongylocephalus,Herbivore Scraper,FALSE,FALSE,TRUE,TRUE,2,,,,,
Leptoscarus vaigiensis,Herbivore Browser,FALSE,FALSE,FALSE,TRUE,1,,,,,
Siganus puelloides,Herbivore Grazer,FALSE,FALSE,FALSE,TRUE,1,,,,,
Siganus stellatus,Herbivore Grazer,FALSE,FALSE,TRUE,TRUE,2,,,,,
Siganus sutor,Herbivore Browser,FALSE,FALSE,FALSE,TRUE,1,,,,,
Chlorurus enneacanthus,Herbivore Scraper,FALSE,FALSE,TRUE,FALSE,1,,,,,