Location,Atoll,Island,Exposure,Unique_site_transect,Depth,Transect,Structural complexity score
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,9,1,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,9,2,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,9,3,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,9,4,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,3,1,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,3,2,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,3,3,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered1,3,4,3
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,9,1,2
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,9,2,2
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,9,3,2
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,9,4,2
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,3,1,1
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,3,2,1
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,3,3,1
Chagos,Salamon,Ile Takamaka,Exposed,SalamonIle TakamakaExposed4,3,4,1
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,9,1,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,9,2,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,9,3,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,9,4,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,3,1,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,3,2,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,3,3,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered3,3,4,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,9,1,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,9,2,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,9,3,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,9,4,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,3,1,3
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,3,2,4
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,3,3,3.5
Chagos,Salamon,Ile Anglais,Sheltered,SalamonIle AnglaisSheltered2,3,4,3.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,9,1,2.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,9,2,2.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,9,3,2
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,9,4,2.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,3,1,1.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,3,2,1
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,3,3,1.5
Chagos,Salamon,Ile Fouquet,Exposed,SalamonIle FouquetExposed5,3,4,1.5
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,9,1,4
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,9,2,4
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,9,3,3
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,9,4,3
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,3,1,1.5
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,3,2,1
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,3,3,1.5
Chagos,Salamon,South,Exposed,SalamonSouthExposed6,3,4,1.5
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,9,1,3
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,9,2,3
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,9,3,3
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,9,4,3
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,3,1,1.5
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,3,2,1
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,3,3,1
Chagos,Peros Banhos,Exposed site 1,Exposed,Peros BanhosExposed site 1Exposed4,3,4,1.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,9,1,3
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,9,2,3.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,9,3,3.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,9,4,3.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,3,1,2
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,3,2,1.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,3,3,1.5
Chagos,Peros Banhos,Exposed site 2,Exposed,Peros BanhosExposed site 2Exposed5,3,4,1.5
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,9,1,3
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,9,2,3
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,9,3,3
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,9,4,3
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,3,1,1
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,3,2,1
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,3,3,1
Chagos,Peros Banhos,Exposed site 3,Exposed,Peros BanhosExposed site 3Exposed6,3,4,1
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,9,1,3
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,9,2,3.5
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,9,3,3.5
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,9,4,4
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,3,1,2
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,3,2,2
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,3,3,2.5
Chagos,Peros Banhos,Ile Poule,Sheltered,Peros BanhosIle PouleSheltered1,3,4,3
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,9,1,3.5
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,9,2,4
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,9,3,3.5
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,9,4,3.5
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,3,1,2.5
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,3,2,2.5
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,3,3,2
Chagos,Peros Banhos,Sheltered site 3,Sheltered,Peros BanhosSheltered site 3Sheltered3,3,4,2.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,9,1,3.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,9,2,3.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,9,3,3.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,9,4,3.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,3,1,1.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,3,2,1
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,3,3,1.5
Chagos,Peros Banhos,Sheltered site 2,Sheltered,Peros BanhosSheltered site 2Sheltered2,3,4,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,9,1,2.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,9,2,2.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,9,3,2.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,9,4,2.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,3,1,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,3,2,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,3,3,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed1,3,4,1.5
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,9,1,2.5
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,9,2,3
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,9,3,3
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,9,4,3
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,3,1,1.5
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,3,2,1.5
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,3,3,1.5
Chagos,Great Chagos Bank,Middle Brother,Exposed,Great Chagos BankMiddle BrotherExposed3,3,4,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,9,1,3
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,9,2,3
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,9,3,3
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,9,4,3
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,3,1,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,3,2,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,3,3,1.5
Chagos,Great Chagos Bank,South Brother,Exposed,Great Chagos BankSouth BrotherExposed2,3,4,2
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,9,1,3
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,9,2,3
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,9,3,3
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,9,4,3.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,3,1,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,3,2,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,3,3,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered3,3,4,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,9,1,3
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,9,2,2.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,9,3,2
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,9,4,2.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,3,1,0.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,3,2,0.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,3,3,0.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered2,3,4,0.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,9,1,2.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,9,2,1.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,9,3,1.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,9,4,1.5
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,3,1,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,3,2,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,3,3,1
Chagos,Great Chagos Bank,Eagle,Sheltered,Great Chagos BankEagleSheltered1,3,4,1
Chagos,Diego Garcia,Cannon Point,Sheltered,Diego GarciaCannon Point,9,1,1.5
Chagos,Diego Garcia,Cannon Point,Sheltered,Diego GarciaCannon Point,9,2,1.5
Chagos,Diego Garcia,Cannon Point,Sheltered,Diego GarciaCannon Point,9,3,1.5
Chagos,Diego Garcia,Cannon Point,Sheltered,Diego GarciaCannon Point,9,4,1.5
Chagos,Diego Garcia,Barton Point east,Sheltered,Diego GarciaBarton Point,9,1,3
Chagos,Diego Garcia,Barton Point east,Sheltered,Diego GarciaBarton Point,9,2,3.5
Chagos,Diego Garcia,Barton Point east,Sheltered,Diego GarciaBarton Point,9,3,4
Chagos,Diego Garcia,Barton Point east,Sheltered,Diego GarciaBarton Point,9,4,3
Chagos,Diego Garcia,Barton Point west,Sheltered,Diego GarciaBarton Point west,9,1,3
Chagos,Diego Garcia,Barton Point west,Sheltered,Diego GarciaBarton Point west,9,2,2.5
Chagos,Diego Garcia,Barton Point west,Sheltered,Diego GarciaBarton Point west,9,3,3
Chagos,Diego Garcia,Barton Point west,Sheltered,Diego GarciaBarton Point west,9,4,2.5
Chagos,Diego Garcia,East side,Exposed,Diego GarciaDiego Garcia East coast,9,1,2
Chagos,Diego Garcia,East side,Exposed,Diego GarciaDiego Garcia East coast,9,2,2
Chagos,Diego Garcia,East side,Exposed,Diego GarciaDiego Garcia East coast,9,3,1.5
Chagos,Diego Garcia,East side,Exposed,Diego GarciaDiego Garcia East coast,9,4,2.5
Chagos,Peros Banhos,North Diamont,Sheltered,Peros BanhosNorth Diamont,9,1,2.5
Chagos,Peros Banhos,North Diamont,Sheltered,Peros BanhosNorth Diamont,9,2,3
Chagos,Peros Banhos,North Diamont,Sheltered,Peros BanhosNorth Diamont,9,3,3
Chagos,Peros Banhos,North Diamont,Sheltered,Peros BanhosNorth Diamont,9,4,2.5
Chagos,Diego Garcia,Middle Island,Sheltered,Diego GarciaMiddle Island,9,1,1.5
Chagos,Diego Garcia,Middle Island,Sheltered,Diego GarciaMiddle Island,9,2,3
Chagos,Diego Garcia,Middle Island,Sheltered,Diego GarciaMiddle Island,9,3,2
Chagos,Diego Garcia,Middle Island,Sheltered,Diego GarciaMiddle Island,9,4,2.5
Chagos,Diego Garcia,Cannon Point 2,Sheltered,Diego GarciaCannon Point 2,9,1,1
Chagos,Diego Garcia,Cannon Point 2,Sheltered,Diego GarciaCannon Point 2,9,2,2
Chagos,Diego Garcia,Cannon Point 2,Sheltered,Diego GarciaCannon Point 2,9,3,2
Chagos,Diego Garcia,Cannon Point 2,Sheltered,Diego GarciaCannon Point 2,9,4,2