Reef,Site,Unique_site_transect,Y,X,dataset
Mahe,Cousin carbonate,Cousin carbonate,-4.332921,55.658746,Seychelles
Mahe,Cousin granite reef,Cousin granite reef,-4.328438,55.66162,Seychelles
Mahe,Cousin Patch reef,Cousin Patch reef,-4.332388,55.666324,Seychelles
Mahe,Mahe E carbonate,Mahe E carbonate,-4.710589,55.52704,Seychelles
Mahe,Mahe E granitic reef,Mahe E granitic reef,-4.734961,55.528958,Seychelles
Mahe,Mahe E patch reef,Mahe E patch reef,-4.703574,55.528198,Seychelles
Mahe,Mahe NW Carbonate,Mahe NW Carbonate,-4.634994,55.376116,Seychelles
Mahe,Mahe NW granitic reef,Mahe NW granitic reef,-4.562673,55.436906,Seychelles
Mahe,Mahe NW patch reef,Mahe NW patch reef,-4.614482,55.41627,Seychelles
Mahe,Mahe W carbonate,Mahe W carbonate,-4.669121,55.400252,Seychelles
Mahe,Mahe W granitic reef,Mahe W granitic reef,-4.659828,55.360993,Seychelles
Mahe,Mahe W patch reef,Mahe W patch reef,-4.684675,55.434722,Seychelles
Praslin,Praslin NE carbonate,Praslin NE carbonate,-4.315847,55.756687,Seychelles
Praslin,Praslin NE granitic reef,Praslin NE granitic reef,-4.290079,55.707504,Seychelles
Praslin,Praslin NE patch reef,Praslin NE patch reef,-4.303653,55.746546,Seychelles
Praslin,Praslin SW carbonate,Praslin SW carbonate,-4.350873,55.701522,Seychelles
Praslin,Praslin SW granitic reef,Praslin SW granitic reef,-4.313662,55.678717,Seychelles
Praslin,Praslin SW patch reef,Praslin SW patch reef,-4.333943,55.692044,Seychelles
Praslin,Ste Anne carbonate,Ste Anne carbonate,-4.609864,55.496361,Seychelles
Praslin,Ste. Anne granitic reef,Ste. Anne granitic reef,-4.605095,55.513525,Seychelles
Praslin,Ste. Anne patch reef,Ste. Anne patch reef,-4.618086,55.509399,Seychelles